TITLE,ASSIGNMENT,RACE/ETHNICITY,GENDER,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,25,3,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,35,1,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,23,1,,YES,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,27,2,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,43,1,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,27,2,,YES,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,26,1,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,29,2,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,26,1,,YES,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,KOREAN,MALE,27,5,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,OTHER HISPANIC,MALE,25,2,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,31,2,,YES,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,29,1,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,29,2,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,52,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,34,10,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,37,12,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,35,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,32,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,OTHER HISPANIC,FEMALE,26,5,,YES,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,28,4,,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,39,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,WHITE,MALE,47,8,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,52,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,27,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,44,5,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,40,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER (EID),NORTHWESTERN DISTRICT,WHITE,MALE,32,5,,NO,BPD
POLICE OFFICER (EID),NORTHWESTERN DISTRICT,WHITE,MALE,29,4,,YES,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,MALE,41,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,51,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,39,20,HGH SCHOOL GRADUATE,YES,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,39,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,51,11,3 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,30,9,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,28,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,MALE,31,7,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,MALE,31,9,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,OTHER HISPANIC,MALE,39,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,MALE,55,34,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,MALE,38,13,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,MALE,32,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,MALE,48,11,HGH SCHOOL GRADUATE,YES,BPD
POLICE SERGEANT,NORTHWESTERN DISTRICT,WHITE,FEMALE,38,13,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT EID,NORTHWESTERN DISTRICT,AFRICAN AMERICAN,FEMALE,39,10,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
CAPTAIN,OFFICE OF POLICE COMMISSIONER,WHITE,MALE,44,17,MASTERS COMPLETED & RECEIVED,YES,BPD
POLICE COMMISSIONER,OFFICE OF POLICE COMMISSIONER,WHITE,MALE,46,0,,NO,BPD
POLICE OFFICER,OFFICE OF POLICE COMMISSIONER,AFRICAN AMERICAN,MALE,48,0,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT EID,OFFICE OF POLICE COMMISSIONER,WHITE,MALE,35,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,41,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,47,17,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,AFRICAN AMERICAN,FEMALE,46,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,47,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,54,32,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,47,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,AFRICAN AMERICAN,FEMALE,54,27,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,54,33,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,AFRICAN AMERICAN,MALE,42,16,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,49,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,43,19,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,AFRICAN AMERICAN,MALE,41,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,53,27,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - RATT/VICE,WHITE,MALE,41,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,OIS - RATT/VICE,WHITE,MALE,44,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OIS - RATT/VICE,WHITE,MALE,40,16,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE SERGEANT,OIS - RATT/VICE,WHITE,MALE,45,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,50,5,,YES,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,28,6,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,35,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,32,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,30,9,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,40,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,41,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,48,29,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,41,17,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,43,22,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,29,5,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,40,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,36,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,WHITE,MALE,36,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,44,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,45,26,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE UNITS,AFRICAN AMERICAN,MALE,35,10,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE SERGEANT,OIS - TASK FORCE UNITS,WHITE,MALE,47,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE UNITS,WHITE,MALE,50,27,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE UNITS,WHITE,MALE,42,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE UNITS,WHITE,MALE,47,23,4 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE UNITS,WHITE,MALE,46,24,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE UNITS,WHITE,MALE,43,21,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,46,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,42,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,44,12,4 YEARS COLLEGE,YES,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,49,24,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,27,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,34,6,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,OTHER HISPANIC,MALE,47,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,39,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,40,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,36,13,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,49,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,37,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,48,24,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,41,18,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,41,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,43,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,41,19,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,53,29,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,45,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,38,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,39,14,MASTERS COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,41,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE/HIDTA TEAMS,AFRICAN AMERICAN,MALE,42,21,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,64,44,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,59,28,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,OIS - TASK FORCE/HIDTA TEAMS,WHITE,MALE,46,25,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,OIS - WATF,WHITE,MALE,47,28,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE LIEUTENANT,OIS - WATF,AFRICAN AMERICAN,MALE,46,20,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,FEMALE,55,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - WATF,OTHER HISPANIC,MALE,62,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,42,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,36,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,46,17,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,53,28,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,56,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,44,15,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,50,18,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,42,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,49,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,63,32,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,33,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,38,16,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,42,17,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,OIS - WATF,KOREAN,MALE,36,12,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,FEMALE,47,9,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,43,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,53,20,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,OIS - WATF,OTHER HISPANIC,MALE,48,2,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,39,16,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,41,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,FEMALE,41,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,34,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,46,26,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,45,24,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,WHITE,MALE,31,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,47,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OIS - WATF,AFRICAN AMERICAN,MALE,46,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OIS - WATF,AFRICAN AMERICAN,MALE,38,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OIS - WATF,WHITE,MALE,48,28,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OIS - WATF,AFRICAN AMERICAN,MALE,51,30,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OIS - WATF,WHITE,MALE,50,27,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,OIS - WATF,WHITE,MALE,42,19,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OIS - WATF,WHITE,MALE,41,19,HGH SCHOOL GRADUATE,NO,BPD
CAPTAIN,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,43,21,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE LIEUTENANT,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,51,20,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,47,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,FEMALE,40,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,52,19,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,50,0,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,43,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,45,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,42,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,54,30,MASTERS COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,FEMALE,,,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,41,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,FEMALE,33,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER (EID),SES - WESTSIDE ZONES,WHITE,MALE,27,4,,YES,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,48,12,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,FEMALE,43,14,MASTERS COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,54,33,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,36,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,AFRICAN AMERICAN,MALE,49,20,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,46,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,45,20,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,56,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,55,23,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,OPERATIONAL INTELLIGENCE SECTION,WHITE,MALE,49,25,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,OVERTIME/SECONDARY EMP,WHITE,MALE,59,38,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,OVERTIME/SECONDARY EMP,WHITE,MALE,56,35,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE FLIGHT OFFICER EID,POLICE ACADEMY,WHITE,MALE,42,0,,NO,BPD
POLICE OFFICER,POLICE ACADEMY,AFRICAN AMERICAN,FEMALE,31,5,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,POLICE ACADEMY,WHITE,MALE,29,7,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,POLICE ACADEMY,AFRICAN AMERICAN,FEMALE,40,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,POLICE ACADEMY,AFRICAN AMERICAN,MALE,56,15,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,POLICE ACADEMY,AFRICAN AMERICAN,FEMALE,58,24,5 YEARS COLLEGE,NO,BPD
POLICE OFFICER,POLICE ACADEMY,WHITE,MALE,40,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,POLICE ACADEMY,AFRICAN AMERICAN,MALE,50,0,,YES,BPD
POLICE OFFICER,POLICE ACADEMY,WHITE,MALE,36,7,DOCTORATE COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,POLICE ACADEMY,WHITE,MALE,49,23,3 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,POLICE ACADEMY,WHITE,MALE,39,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,POLICE ACADEMY,AFRICAN AMERICAN,MALE,48,25,HGH SCHOOL GRADUATE,NO,BPD
DEPUTY POLICE COMMISSIONER,PROF STANDARDS/ACCOUNTABILITY BUR,AFRICAN AMERICAN,MALE,51,27,A.A. COMPLETED & RECEIVED,YES,BPD
POLICE COLONEL,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,MALE,52,32,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE LIEUTENANT EID,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,MALE,37,14,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,FEMALE,35,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,PROF STANDARDS/ACCOUNTABILITY BUR,AFRICAN AMERICAN,MALE,41,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,MALE,43,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,FEMALE,40,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,PROF STANDARDS/ACCOUNTABILITY BUR,AFRICAN AMERICAN,FEMALE,36,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,MALE,41,18,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,FEMALE,46,24,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,PROF STANDARDS/ACCOUNTABILITY BUR,AFRICAN AMERICAN,FEMALE,36,14,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE SERGEANT EID,PROF STANDARDS/ACCOUNTABILITY BUR,WHITE,MALE,38,11,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,PROPERTY SEC - FACILITIES MGT,AFRICAN AMERICAN,MALE,46,23,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,PROPERTY SEC - QUARTERMASTER,OTHER HISPANIC,MALE,46,9,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,PROPERTY SEC - QUARTERMASTER,WHITE,MALE,46,25,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,PROPERTY SEC - QUARTERMASTER,WHITE,MALE,50,29,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,PROPERTY SEC - QUARTERMASTER,WHITE,MALE,50,25,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,PROPERTY SEC - QUARTERMASTER,OTHER HISPANIC,MALE,44,25,1 YEAR COLLEGE OR LESS,NO,BPD
